analysis_version,valid_for_generalization,coverage_guarantee_valid,seed,horizon_seconds,nominal_coverage,calibrated,clean_picp,leaky_picp,leaky_minus_clean_picp,clean_absolute_coverage_error,leaky_absolute_coverage_error,clean_mean_interval_width_bpm,leaky_mean_interval_width_bpm,leaky_minus_clean_width_bpm,clean_conformal_adjustment_bpm,leaky_conformal_adjustment_bpm,users,sessions,origins
0.28.0,False,False,20260723,300,0.5,False,0.4834710880324563,0.4860175661700593,0.0025464781376030032,0.01652891196754369,0.013982433829940688,12.271090939915792,12.371488568030886,0.10039762811509334,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,60,0.5,True,0.4902627775425799,0.4924400303080679,0.002177252765487969,0.009737222457420092,0.007559969691932122,9.311108952492805,9.324383398048164,0.013274445555358838,0.06005859375,0.01171875,948,16012,104144
0.28.0,False,False,20260723,180,0.5,True,0.48948807784622034,0.4906752134397158,0.0011871355934954808,0.010511922153779663,0.009324786560284182,11.451964769662906,11.50468904532776,0.05272427566485405,0.046875,0.001739501953125,948,16012,104144
0.28.0,False,False,20260723,300,0.5,True,0.48421276415258335,0.4860175661700593,0.0018048020174759594,0.015787235847416647,0.013982433829940688,12.282106652870683,12.371488568030886,0.08938191516020311,0.0055084228515625,0.0,948,16012,104144
0.28.0,False,False,20260723,60,0.8,False,0.7816426229452024,0.7925215676713524,0.01087894472615003,0.018357377054797674,0.007478432328647644,18.12061393859159,18.366319437549386,0.24570549895779692,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,180,0.8,False,0.7852004457505788,0.7917728601981582,0.006572414447579389,0.014799554249421254,0.008227139801841865,22.575406458974566,22.890785013483605,0.3153785545090386,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,300,0.8,False,0.7817036750828309,0.789705603828271,0.008001928745440146,0.01829632491716915,0.010294396171729003,24.58944900001492,24.744472819223116,0.1550238192081963,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,60,0.8,True,0.7908791795680353,0.7931665320608485,0.0022873524928131994,0.009120820431964716,0.006833467939151516,18.38614259576738,18.3845324030306,-0.0016101927367806468,0.1328125,0.0091094970703125,948,16012,104144
0.28.0,False,False,20260723,180,0.8,True,0.7896399111684218,0.7917728601981582,0.002132949029736375,0.01036008883157824,0.008227139801841865,22.780399341514105,22.890785013483605,0.11038567196949955,0.1025390625,0.0,948,16012,104144
0.28.0,False,False,20260723,300,0.8,True,0.7838406150024714,0.7900301723570161,0.006189557354544739,0.01615938499752867,0.00996982764298393,24.70918985158112,24.763446984663158,0.05425713308203939,0.0598907470703125,0.009490966796875,948,16012,104144
0.28.0,False,False,20260723,60,0.9,False,0.8882356576723914,0.895657684592275,0.007422026919883584,0.01176434232760859,0.004342315407725006,24.256577408249306,24.562114016481896,0.30553660823258966,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,180,0.9,False,0.8890793718504555,0.8931991108630187,0.004119739012563239,0.010920628149544531,0.006800889136981292,30.41792605880742,30.767062962738727,0.34913690393130636,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,300,0.9,False,0.8883092891372322,0.8902310064914939,0.0019217173542617205,0.01169071086276785,0.00976899350850613,33.28385160412827,33.53749249411227,0.25364088998399836,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,60,0.9,True,0.894864178724265,0.8965331516831296,0.0016689729588645896,0.005135821275734975,0.0034668483168703856,24.67815334047705,24.61417119144804,-0.0639821490290089,0.2109375,0.0260467529296875,948,16012,104144
0.28.0,False,False,20260723,180,0.9,True,0.8924288344823245,0.8946463968436242,0.002217562361299774,0.00757116551767556,0.005353603156375786,30.789498708066816,30.852932995398287,0.0634342873314715,0.185943603515625,0.04296875,948,16012,104144
0.28.0,False,False,20260723,300,0.9,True,0.8905987392352306,0.8913343993363275,0.0007356601010969355,0.009401260764769437,0.008665600663672501,33.596072115432136,33.662369188586545,0.06629707315440925,0.15625,0.0625,948,16012,104144
0.28.0,False,False,20260724,60,0.5,False,0.4819541126277537,0.47744393368388244,-0.004510178943871235,0.018045887372246328,0.022556066316117562,9.240867565984464,9.16625600527388,-0.07461156071058461,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,180,0.5,False,0.48896794629650026,0.48377464954189847,-0.005193296754601784,0.011032053703499745,0.01622535045810153,11.433266833153512,11.423778205458142,-0.00948862769537051,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,300,0.5,False,0.4831948915483351,0.482391501336854,-0.0008033902114811253,0.016805108451664885,0.01760849866314601,12.316298909197648,12.301757597222482,-0.014541311975166948,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,60,0.5,True,0.4893381008426504,0.48878132088365345,-0.0005567799589969447,0.010661899157349608,0.011218679116346553,9.340618007772699,9.33551587520829,-0.005102132564408279,0.0498809814453125,0.0846405029296875,948,16012,104144
0.28.0,False,False,20260724,180,0.5,True,0.4925125946265925,0.4905807520909239,-0.0019318425356686375,0.007487405373407474,0.009419247909076112,11.502411826074708,11.559895190230332,0.05748336415562427,0.034576416015625,0.0680694580078125,948,16012,104144
0.28.0,False,False,20260724,300,0.5,True,0.48473766986439853,0.48635058312295254,0.0016129132585540051,0.015262330135601465,0.01364941687704746,12.352552386538944,12.385093276748352,0.032540890209407536,0.01813507080078125,0.0416717529296875,948,16012,104144
0.28.0,False,False,20260724,60,0.8,False,0.7855652704429616,0.7802390582699571,-0.005326212173004552,0.014434729557038395,0.019760941730042947,18.233920107840103,18.086692146008335,-0.14722796183176712,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,180,0.8,False,0.787267456166736,0.78843233400707,0.0011648778403340332,0.012732543833264054,0.01156766599293002,22.77709564510534,22.88900620201504,0.11191055690969876,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,300,0.8,False,0.7867771280716056,0.7860613149551547,-0.0007158131164508585,0.013222871928394442,0.0139386850448453,24.652808641206363,24.585844545345463,-0.06696409586090013,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,60,0.8,True,0.7925128893932408,0.7928758289097376,0.00036293951649679634,0.0074871106067592175,0.007124171090262421,18.46038497791116,18.477154483250708,0.016769505339546242,0.11328125,0.1953125,948,16012,104144
0.28.0,False,False,20260724,180,0.8,True,0.7899558691832931,0.7925993319202561,0.0026434627369630315,0.010044130816706964,0.007400668079743933,22.902043410093864,23.046747890174522,0.14470448008065873,0.0625,0.0789031982421875,948,16012,104144
0.28.0,False,False,20260724,300,0.8,True,0.7894496686077024,0.7903769665693711,0.0009272979616686827,0.010550331392297663,0.00962303343062898,24.798069834791207,24.84354588675998,0.045476051968773135,0.072662353515625,0.12890625,948,16012,104144
0.28.0,False,False,20260724,60,0.9,False,0.8885903399929138,0.8902701554109246,0.001679815418010766,0.011409660007086209,0.009729844589075443,24.36944043375125,24.32822514954885,-0.04121528420240139,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,180,0.9,False,0.8897045025179203,0.8878108280359865,-0.0018936744819337825,0.010295497482079696,0.012189171964013479,30.622067614939954,30.570228689283752,-0.051838925656202406,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,300,0.9,False,0.8880335182291149,0.8871033780536061,-0.0009301401755088534,0.011966481770885107,0.01289662194639396,33.40176942352965,33.324189798255155,-0.07757962527449536,0.0,0.0,948,16012,104144
0.28.0,False,False,20260724,60,0.9,True,0.8948582414113718,0.8966511249592157,0.0017928835478439042,0.005141758588628198,0.0033488750407842938,24.79095286267079,24.765437601655623,-0.025515261015165436,0.2109375,0.21875,948,16012,104144
0.28.0,False,False,20260724,180,0.9,True,0.8925126979768143,0.8927610152644082,0.00024831728759389105,0.007487302023185705,0.0072389847355918135,30.915546728668552,31.04574433330188,0.1301976046333273,0.146881103515625,0.23797607421875,948,16012,104144
0.28.0,False,False,20260724,300,0.9,True,0.8908996200817635,0.8929445401713145,0.002044920089551039,0.009100379918236534,0.007055459828685495,33.604682424111715,33.8237137076626,0.21903128355088342,0.1015625,0.25,948,16012,104144
