aggregation_version,seed,main_experiment,comparator_experiment,comparator_model,regime,horizon_seconds,main_mode,main_mae_bpm,comparator_mae_bpm,main_minus_comparator_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260723,temporal_main,temporal_gru,gru,within_user_temporal_test,60,zero_history,6.070176601409912,6.04792594909668,0.022250652313232422,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260723,temporal_main,temporal_gru,gru,within_user_temporal_test,180,zero_history,7.655842304229736,7.588141918182373,0.06770038604736328,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260723,temporal_main,temporal_gru,gru,within_user_temporal_test,300,zero_history,8.35843563079834,8.306465148925781,0.051970481872558594,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260724,temporal_main,temporal_gru,gru,within_user_temporal_test,60,zero_history,6.084412097930908,6.053791522979736,0.030620574951171875,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260724,temporal_main,temporal_gru,gru,within_user_temporal_test,180,zero_history,7.649913787841797,7.579984188079834,0.06992959976196289,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260724,temporal_main,temporal_gru,gru,within_user_temporal_test,300,zero_history,8.363932609558105,8.294050216674805,0.06988239288330078,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260722,temporal_main,temporal_tcn,tcn,within_user_temporal_test,60,zero_history,6.05565357208252,6.126643180847168,-0.07098960876464755,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260722,temporal_main,temporal_tcn,tcn,within_user_temporal_test,180,zero_history,7.64992618560791,7.6254563331604,0.024469852447509766,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260722,temporal_main,temporal_tcn,tcn,within_user_temporal_test,300,zero_history,8.365702629089355,8.338669776916504,0.027032852172851562,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260723,temporal_main,temporal_tcn,tcn,within_user_temporal_test,60,zero_history,6.070176601409912,6.091780185699463,-0.02160358428955078,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260723,temporal_main,temporal_tcn,tcn,within_user_temporal_test,180,zero_history,7.655842304229736,7.612818717956543,0.04302358627319336,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260723,temporal_main,temporal_tcn,tcn,within_user_temporal_test,300,zero_history,8.35843563079834,8.332843780517578,0.02559185028076172,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260724,temporal_main,temporal_tcn,tcn,within_user_temporal_test,60,zero_history,6.084412097930908,6.10420560836792,-0.01979351043701172,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260724,temporal_main,temporal_tcn,tcn,within_user_temporal_test,180,zero_history,7.649913787841797,7.617093086242676,0.032820701599121094,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260724,temporal_main,temporal_tcn,tcn,within_user_temporal_test,300,zero_history,8.363932609558105,8.321605682373047,0.042326927185058594,948,16012,104144,negative favors main zero-history model,False
