aggregation_version,seed,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,value,users,sessions,origins,aggregation,source_file,source_sha256
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,picp,0.7751589417457581,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,absolute_coverage_error,0.0348679065704345,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,mean_interval_width_bpm,37.41551971435547,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,picp,0.8651320934295654,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,absolute_coverage_error,0.0347135305404663,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,conformal_adjustment_bpm,0.099822998046875,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,mean_interval_width_bpm,37.61516571044922,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,picp,0.8652864694595337,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,false,absolute_coverage_error,0.0492528676986694,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,false,mean_interval_width_bpm,14.895444869995115,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,false,picp,0.4507471323013305,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,true,absolute_coverage_error,0.0492528676986694,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,true,mean_interval_width_bpm,14.895444869995115,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.5,true,picp,0.4507471323013305,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,false,absolute_coverage_error,0.0498694658279419,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,false,mean_interval_width_bpm,30.344099044799805,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,false,picp,0.7501305341720581,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,true,absolute_coverage_error,0.0498694658279419,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,true,mean_interval_width_bpm,30.344099044799805,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.8,true,picp,0.7501305341720581,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,300,0.9,false,absolute_coverage_error,0.0150915622711181,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
