aggregation_version,seed,experiment,family,phase,regime,horizon_seconds,history_informed_mae_bpm,zero_history_mae_bpm,history_minus_zero_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260724,held_sport,running,evaluation,joint_user_sport__running,60,5.0641255378723145,5.051409721374512,0.012715816497802734,88,8431,60542,negative favors history-informed,False
0.22.0,20260724,held_sport,running,evaluation,joint_user_sport__running,180,6.482592582702637,6.404551982879639,0.07804059982299805,88,8431,60542,negative favors history-informed,False
0.22.0,20260724,held_sport,running,evaluation,joint_user_sport__running,300,7.219220161437988,7.136161804199219,0.08305835723876953,88,8431,60542,negative favors history-informed,False
0.22.0,20260724,held_sport,running,evaluation,unseen_sport__running,60,5.250594139099121,5.23598051071167,0.014613628387451172,448,44652,308648,negative favors history-informed,False
0.22.0,20260724,held_sport,running,evaluation,unseen_sport__running,180,6.868812561035156,6.847751617431641,0.021060943603515625,448,44652,308648,negative favors history-informed,False
0.22.0,20260724,held_sport,running,evaluation,unseen_sport__running,300,7.617194652557373,7.577316284179687,0.039878368377686435,448,44652,308648,negative favors history-informed,False
0.22.0,20260724,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,60,9.496575355529783,9.70631980895996,-0.20974445343017578,20,112,503,negative favors history-informed,False
0.22.0,20260724,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,180,11.819662094116213,12.421804428100586,-0.6021423339843732,20,112,503,negative favors history-informed,False
0.22.0,20260724,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,300,11.79708194732666,12.179677963256836,-0.3825960159301758,20,112,503,negative favors history-informed,False
0.22.0,20260724,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,60,9.410536766052246,9.36150074005127,0.04903602600097656,106,587,3189,negative favors history-informed,False
0.22.0,20260724,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,180,10.60898208618164,10.594474792480469,0.014507293701171875,106,587,3189,negative favors history-informed,False
0.22.0,20260724,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,300,12.01248550415039,12.075640678405762,-0.0631551742553711,106,587,3189,negative favors history-informed,False
0.22.0,20260724,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,60,6.416471481323242,6.471726417541504,-0.05525493621826172,19,96,428,negative favors history-informed,False
0.22.0,20260724,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,180,7.252436637878418,7.4427618980407715,-0.19032526016235352,19,96,428,negative favors history-informed,False
0.22.0,20260724,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,300,8.70129680633545,8.835224151611328,-0.1339273452758789,19,96,428,negative favors history-informed,False
0.22.0,20260724,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,60,5.598659038543701,5.704274654388428,-0.10561561584472656,144,2063,10149,negative favors history-informed,False
0.22.0,20260724,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,180,7.730978965759277,7.856247901916504,-0.12526893615722656,144,2063,10149,negative favors history-informed,False
0.22.0,20260724,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,300,8.543691635131836,8.664077758789062,-0.12038612365722656,144,2063,10149,negative favors history-informed,False
0.22.0,20260724,temporal_main,,evaluation,within_user_temporal_test,60,6.035852909088135,6.084412097930908,-0.04855918884277344,948,16012,104144,negative favors history-informed,False
0.22.0,20260724,temporal_main,,evaluation,within_user_temporal_test,180,7.561564445495605,7.649913787841797,-0.0883493423461923,948,16012,104144,negative favors history-informed,False
0.22.0,20260724,temporal_main,,evaluation,within_user_temporal_test,300,8.260446548461914,8.363932609558105,-0.1034860610961914,948,16012,104144,negative favors history-informed,False
0.22.0,20260724,unseen_main,,development,unseen_user_test,60,5.866835117340088,5.91007137298584,-0.04323625564575195,105,15026,101184,negative favors history-informed,False
