analysis_version,scope,seed,regime,mode,horizon_seconds,nominal_coverage,origin_pooled_adjustment_bpm,balanced_adjustment_bpm,delta_adjustment_bpm,delta_picp,delta_picp_ci_low,delta_picp_ci_high,delta_absolute_coverage_error,delta_absolute_coverage_error_ci_low,delta_absolute_coverage_error_ci_high,delta_mean_interval_width_bpm,delta_mean_interval_width_ci_low_bpm,delta_mean_interval_width_ci_high_bpm,evaluation_users,bootstrap_replicates,bootstrap_unit,calibration_thresholds_fixed,optimization_seed_variability_in_ci
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,180,0.5,0.0,0.1723175048828125,0.1723175048828125,0.011270607383154496,0.01055094343970258,0.011998992299075683,-0.011270607383154496,-0.011998992299075683,-0.01055094343970258,0.344631746265156,0.3446279618056217,0.3446343861978233,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,300,0.5,0.0,0.0124969482421875,0.0124969482421875,0.0009773474309184849,0.0006735708071501659,0.0013287018507778592,-0.0009773474309184849,-0.0013266706511736836,-0.0006590601931144624,0.02498196866521596,0.02496128450489188,0.02499366402626002,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,300,0.5,0.0,0.0124969482421875,0.0124969482421875,0.0006280158727957619,0.0004739570765636622,0.0008253156581088175,-0.0006280158727957619,-0.0008253156581088175,-0.0004739570765636622,0.024993639390483935,0.024993365342806672,0.024993834650938053,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,60,0.8,0.078125,0.38262939453125,0.30450439453125,0.01750059394464154,0.015537673354683071,0.019502721158939963,-0.00782814339106186,-0.018468803184062917,0.01439280629193553,0.6074940216403419,0.6048427415984159,0.6089424036699616,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,60,0.8,0.078125,0.38262939453125,0.30450439453125,0.013109524013500962,0.012360801489725575,0.013888471242397565,-0.013109524013500962,-0.013879893943837212,-0.007572435281535514,0.6089788047328106,0.6089508963475754,0.6089996882268693,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,180,0.8,0.0,0.60546875,0.60546875,0.025266522920464274,0.02271660168758572,0.027902030074954974,-0.007998102937115226,-0.026042894912806227,0.016197189680496542,1.2078205939693234,1.2022387186132537,1.2108119912640498,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,180,0.8,0.0,0.60546875,0.60546875,0.020994562310861276,0.019873911472165984,0.02215300729401259,-0.020994562310861276,-0.02215300729401259,-0.019873911472165984,1.2108877507996176,1.2108416343035873,1.210921809364483,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,300,0.8,0.0,0.362396240234375,0.362396240234375,0.013837476633697054,0.012447332058581725,0.015280973322695878,-0.013837476633697054,-0.01522074800502142,0.0009063390851068445,0.723203699510595,0.7203488492864729,0.724728309402245,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,300,0.8,0.0,0.362396240234375,0.362396240234375,0.011120993197688778,0.01043761366606617,0.011831682536408128,-0.011120993197688778,-0.011831682536408128,-0.01043761366606617,0.7247625459205871,0.7247345995511529,0.7247827319556353,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,60,0.9,0.15972137451171875,0.6328125,0.47309112548828125,0.013326647603037034,0.011672258593579812,0.015122488505483492,-0.0028980389842802046,-0.014191478829171378,0.011150421246784515,0.9425002056755112,0.9362087295619373,0.945982010707132,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,60,0.9,0.15972137451171875,0.6328125,0.47309112548828125,0.010286092529943947,0.009622663676040083,0.010935591454563342,-0.010286092529943947,-0.010935591454563343,-0.009620022763336242,0.9460862255502533,0.9460001894236351,0.9461444758485691,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,180,0.9,0.134613037109375,0.8125,0.677886962890625,0.014506508679824393,0.012709449724650407,0.016709203252546104,-0.009601613901221384,-0.01606462934725935,0.00746503523090399,1.3500169395068689,1.339999192023204,1.355466340719623,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,180,0.9,0.134613037109375,0.8125,0.677886962890625,0.012957457828058905,0.0120189031975317,0.013896831240651166,-0.012957457828058905,-0.013896831240651168,-0.0120189031975317,1.3556704658483056,1.3555814590719388,1.355736914753058,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,300,0.9,0.0,0.9921875,0.9921875,0.01735110949258023,0.015468935307230345,0.01929027503535902,-0.01735110949258023,-0.019081602785512748,0.0017522075283251247,1.976117084282997,1.9618442802858334,1.9839301834337495,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,300,0.9,0.0,0.9921875,0.9921875,0.01739563498397867,0.01638607986635542,0.018399876441357044,-0.01739563498397867,-0.018399876441357044,-0.01638607986635542,1.9841850732496127,1.98403643932253,1.9842991934374714,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260725,unseen_user_test,history_informed,60,0.5,0.0,0.02703857421875,0.02703857421875,0.003251798294106545,0.00268448566755434,0.0038813156306412547,-0.0005050310763788368,-0.003673302836005747,0.003770746618526418,0.05400271718547245,0.053863789760521995,0.05407634717638388,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260725,unseen_user_test,history_informed,180,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260725,unseen_user_test,history_informed,300,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260725,unseen_user_test,history_informed,60,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260725,unseen_user_test,history_informed,180,0.8,0.0,0.046875,0.046875,0.0019068083072625308,0.0014424332393004613,0.0024342642463626466,0.0010598551131032474,-0.002285736292934798,0.0023411620810329043,0.09350806508925302,0.09305585791099276,0.09374520167056569,105,10000,evaluation user,True,False
