analysis_version,source_model_version,held_sport_code,held_sport_family,regime,mode,horizon_seconds,nominal_coverage,calibrated,conformal_adjustment_bpm,picp,picp_ci_low,picp_ci_high,absolute_coverage_error,absolute_coverage_error_ci_low,absolute_coverage_error_ci_high,mean_interval_width_bpm,mean_interval_width_ci_low,mean_interval_width_ci_high,users,sessions,origins,support_caution_lt25_users,bootstrap_replicates,bootstrap_unit,aggregation
0.17.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,history_informed,300,0.9,True,0.0859375,0.8747013211250305,0.8309239345620263,0.9141191349558111,0.025298678874969505,0.0013088481423427169,0.06907606543797368,48.79738235473633,45.9491217019423,51.53198662344015,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,zero_history,60,0.9,True,0.2421875,0.8686676025390625,0.8355828833889287,0.90024711645015,0.03133239746093752,0.0029343902924150876,0.0644171166110713,34.814414978027344,32.34903143351933,37.40045179016185,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,zero_history,180,0.9,True,0.21875,0.8812276124954224,0.845958242867634,0.9128860459223671,0.01877238750457766,0.0009869547385089829,0.054041757132366,42.4261589050293,39.7513562661297,45.10475934496466,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,zero_history,300,0.9,True,0.1484375,0.8479020595550537,0.8001154136193811,0.8903230664373006,0.05209794044494631,0.010225109952800715,0.09988458638061894,45.449920654296875,42.73163774868227,48.16364782576291,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,60,0.9,True,0.046875,0.9256046414375305,0.8857029262185097,0.9625895505398512,0.025604641437530495,0.0015496966242790873,0.06258955053985119,35.62459945678711,29.9108127117157,41.70481145858765,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,180,0.9,True,0.0833282470703125,0.8843048214912415,0.7777895716577768,0.9566266628354788,0.015695178508758567,0.0016283550858497394,0.12221042834222304,45.09710693359375,38.63621067285538,51.78291636228562,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,history_informed,300,0.9,True,0.0859375,0.8577166795730591,0.7508922383934259,0.9326611678302288,0.04228332042694094,0.0016665141284465809,0.1491077616065741,48.87946319580078,42.489128460884096,55.6611900138855,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,zero_history,60,0.9,True,0.2421875,0.9133656620979309,0.8742302045226097,0.9491378958523274,0.013365662097930886,0.000875580608844756,0.049383754134178136,35.28190231323242,29.27563530445099,41.44042238712311,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,zero_history,180,0.9,True,0.21875,0.8589242100715637,0.7488496389240026,0.9353092953562736,0.0410757899284363,0.0015768647193908913,0.15115036107599739,43.43585968017578,36.895409302711485,50.098707435131075,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,joint_user_sport__strength_cross_training,zero_history,300,0.9,True,0.1484375,0.8447089195251465,0.7342903082817792,0.9253774382174015,0.05529108047485354,0.002137719616293887,0.16570969171822075,46.60579299926758,40.03082711458206,53.277296669483185,20,112,503,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
