seed,protocol,evaluation,horizon_seconds,contrast,definition,mixed_history_mae_bpm,mixed_zero_mae_bpm,independent_zero_mae_bpm,difference_bpm,negative_favors_left,users,sessions,origins,aggregation,row_index_sha256,user_support_sha256
20260724,strict_temporal,internal_test,300,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,8.260446607256203,8.363932465058847,8.335265285340181,-0.10348585780264911,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,300,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,8.267219787274016,8.378640624146565,8.329279732505558,-0.11142083687254639,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,300,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,8.24481495513656,8.354556956830015,8.332703907173554,-0.10974200169344442,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,8.245007894389452,8.365703152070228,8.320712716882026,0.044990435188194455,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,8.239315397779519,8.358435584878402,8.332129863286253,0.02630572159214735,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260724,strict_temporal,internal_test,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,8.260446607256203,8.363932465058847,8.335265285340181,0.028667179718670093,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,8.267219787274016,8.378640624146565,8.329279732505558,0.04936089164099697,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,300,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,8.24481495513656,8.354556956830015,8.332703907173554,0.021853049656448253,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,unseen_user,frozen_external,60,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,7.454541790026742,7.447693770210599,0.006848019816145082,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
20260723,unseen_user,frozen_external,60,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,,7.46460042661565,7.48917068938796,-0.02457026277230769,True,144,31851,531725,"origin-within-session, session-within-user, equal-user mean",f9414ee5bfb3dcefff537a532b327a1603997659bab6018f3cdae8570a775f48,3d2f7e730e69ee8133b925478a62e4e661a61ee677896e413f471d35aa7c3ac5
